sch_deid,grade,st,school_magnet,school_titlei,tr_ts,school_enroll,frpl_prop,asian_prop,black_prop,hisp_prop,white_prop,period,mean_orf,post
11389,4,OR,Not applicable,Title I schoolwide school,49,272,0.856617647058824,0.183856642493877,0.40637075955309,0.0816326530612245,0.816326530612245,y2_boy,86.5609756097561,1
11389,4,OR,Not applicable,Title I schoolwide school,49,272,0.856617647058824,0.183856642493877,0.40637075955309,0.0816326530612245,0.816326530612245,y2_moy,127.06976744186,1
11389,5,OR,Not applicable,Title I schoolwide school,68,272,0.856617647058824,0.0147058823529412,0.0242770505670082,0.102941176470588,0.823529411764706,y1_boy,104.197183098592,0
11389,5,OR,Not applicable,Title I schoolwide school,68,272,0.856617647058824,0.0147058823529412,0.0242770505670082,0.102941176470588,0.823529411764706,y1_moy,126.140625,0
11389,5,OR,Not applicable,Title I schoolwide school,68,272,0.856617647058824,0.0147058823529412,0.0242770505670082,0.102941176470588,0.823529411764706,y2_boy,100.72972972973,1
11389,5,OR,Not applicable,Title I schoolwide school,68,272,0.856617647058824,0.0147058823529412,0.0242770505670082,0.102941176470588,0.823529411764706,y2_moy,111.5,1
11390,1,OR,Not applicable,Title I schoolwide school,67,324,0.780864197530864,0.0149253731343284,0.395656168675872,0.194029850746269,0.746268656716418,y1_boy,17.0677966101695,0
11390,1,OR,Not applicable,Title I schoolwide school,67,324,0.780864197530864,0.0149253731343284,0.395656168675872,0.194029850746269,0.746268656716418,y1_moy,27.4923076923077,0
11390,1,OR,Not applicable,Title I schoolwide school,67,324,0.780864197530864,0.0149253731343284,0.395656168675872,0.194029850746269,0.746268656716418,y2_boy,18.7931034482759,1
11390,1,OR,Not applicable,Title I schoolwide school,67,324,0.780864197530864,0.0149253731343284,0.395656168675872,0.194029850746269,0.746268656716418,y2_moy,26.027027027027,1
11390,2,OR,Not applicable,Title I schoolwide school,65,324,0.780864197530864,0,0.518137617080512,0.0769230769230769,0.876923076923077,y1_boy,48.4067796610169,0
11390,2,OR,Not applicable,Title I schoolwide school,65,324,0.780864197530864,0,0.518137617080512,0.0769230769230769,0.876923076923077,y1_moy,80.051724137931,0
11390,2,OR,Not applicable,Title I schoolwide school,65,324,0.780864197530864,0,0.518137617080512,0.0769230769230769,0.876923076923077,y2_boy,44.304347826087,1
11390,2,OR,Not applicable,Title I schoolwide school,65,324,0.780864197530864,0,0.518137617080512,0.0769230769230769,0.876923076923077,y2_moy,74.6326530612245,1
11390,3,OR,Not applicable,Title I schoolwide school,62,324,0.780864197530864,0.149328610270737,0.160629737303081,0.0806451612903226,0.82258064516129,y1_boy,76.1379310344828,0
11390,3,OR,Not applicable,Title I schoolwide school,62,324,0.780864197530864,0.149328610270737,0.160629737303081,0.0806451612903226,0.82258064516129,y1_moy,102.754098360656,0
11390,3,OR,Not applicable,Title I schoolwide school,62,324,0.780864197530864,0.149328610270737,0.160629737303081,0.0806451612903226,0.82258064516129,y2_boy,75.0416666666667,1
11390,3,OR,Not applicable,Title I schoolwide school,62,324,0.780864197530864,0.149328610270737,0.160629737303081,0.0806451612903226,0.82258064516129,y2_moy,97.4716981132076,1
11390,4,OR,Not applicable,Title I schoolwide school,66,324,0.780864197530864,0.0381389053490697,0,0.0909090909090909,0.848484848484848,y1_boy,96.8181818181818,0
11390,4,OR,Not applicable,Title I schoolwide school,66,324,0.780864197530864,0.0381389053490697,0,0.0909090909090909,0.848484848484848,y1_moy,140.984848484848,0
11390,4,OR,Not applicable,Title I schoolwide school,66,324,0.780864197530864,0.0381389053490697,0,0.0909090909090909,0.848484848484848,y2_boy,88.7777777777778,1
11390,4,OR,Not applicable,Title I schoolwide school,66,324,0.780864197530864,0.0381389053490697,0,0.0909090909090909,0.848484848484848,y2_moy,112.529411764706,1
11390,5,OR,Not applicable,Title I schoolwide school,64,324,0.780864197530864,0.0582528954576067,0.015625,0.15625,0.71875,y1_boy,102.952380952381,0
